,votes,UnemploymentRate2015,MedHHInc2014,PerCapitaInc,PovertyAllAgesPct2014,Deep_Pov_All,Population,Area in square miles - Total area,PopDensity,TOT_MALE_rate,TOT_FEMALE_rate,voter_turnout_rate,Democrat,State,County,Education,Religion,Old,Young,Adult,EthnicMale,EthnicFemale
0,7471,-0.023357923168432368,0.6875600264663677,0.5365463792619027,-0.006313012484738003,-0.02125196622751698,-0.3037688705947535,3.6070308507060918,0.4,0.483099789,0.49832627,0.017858956827170123,0,02,013,OnlyDiploma,Other Misc,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
1,7471,-0.01735792316843237,1.756004892087457,1.514791300378666,-0.06931301248473799,-0.02770387702751698,-0.2960326276723141,3.373533154878344,1.3,0.483099789,0.49832627,0.008599808637170124,0,02,016,OnlyDiploma,Catholic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
2,7471,-0.005357923168432368,2.319201400364167,2.182621465242889,-0.06831301248473799,-0.031549801177516976,0.6190977773657467,0.19667654569963874,171.2,0.483099789,0.49832627,-0.0042524902028298756,0,02,020,College,Christian Generic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
3,7471,0.08864207683156763,-0.11048768979715222,-0.9097759341927311,0.069686987515262,0.015866410812483026,-0.2594229359583572,11.57681041772371,0.4,0.483099789,0.49832627,-0.0003395668728298756,0,02,050,OnlyDiploma,Catholic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
4,7471,0.03664207683156762,2.332758457073015,2.271010751769036,-0.073313012484738,-0.021900509907516977,-0.3106227982086832,-0.08386985645090367,2.0,0.483099789,0.49832627,0.07925299381717013,0,02,060,College,Catholic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
5,7471,0.031642076831567625,1.8638826908987158,2.238741647164252,-0.097313012484738,0.0015309086724830223,-0.30797265548855834,3.0234460362609132,0.1,0.483099789,0.49832627,0.03442912371717013,0,02,068,College,Christian Generic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
6,7471,0.04164207683156763,0.32548741436421136,-0.40136216109888073,0.006686987515262004,-0.009834387937516977,-0.29831513901389334,5.150409796841605,0.3,0.483099789,0.49832627,0.010448359017170126,0,02,070,OnlyDiploma,Catholic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
7,7471,-0.0013579231684323644,1.7075632138473054,1.5509186674905437,-0.073313012484738,-0.03389644264751698,-0.0018635889438549755,1.6295921754570142,13.3,0.483099789,0.49832627,-0.0037527445528298758,0,02,090,College,Christian Generic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
8,7471,0.04164207683156763,1.6628414597040937,1.4467455797990132,-0.070313012484738,-0.04395248073751699,-0.3057924415740527,0.3964806562638898,1.1,0.483099789,0.49832627,0.024980419217170122,0,02,100,BachelorOrHigher,Christian Generic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
9,7471,0.09464207683156763,0.37549972722307084,1.1835068514741185,0.02268698751526202,-0.01011913225751699,-0.30693689403943836,2.536606136933549,0.3,0.483099789,0.49832627,0.030523173717170123,0,02,105,College,Catholic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
10,7471,-0.009357923168432371,2.785018562280982,2.4542782208559877,-0.089313012484738,-0.04133321479751698,-0.21383025142950168,0.5345767896596315,11.6,0.483099789,0.49832627,-0.002221808042829876,0,02,110,BachelorOrHigher,Christian Generic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
11,7471,0.02264207683156763,1.2720014345856017,1.3238073062775266,-0.05331301248473799,-0.030734643197516984,-0.13670758179981166,6.153248712063571,3.4,0.483099789,0.49832627,-0.003215817092829876,0,02,122,College,Christian Generic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
12,7471,0.01264207683156763,0.8788467900290138,1.3032883647625282,-0.04431301248473799,-0.026825540097516986,-0.27072680164998764,1.4230895961501056,2.8,0.483099789,0.49832627,0.0009470930071701245,0,02,130,College,Christian Generic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
13,7471,-0.006357923168432364,1.7216989254156772,1.0400496364376337,-0.085313012484738,-0.03987385283751698,-0.27035917027144196,2.826101254251809,2.1,0.483099789,0.49832627,0.000876465407170125,0,02,150,College,Catholic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
14,7471,0.1766420768315676,0.6961513110324715,0.7313391431309479,-0.014028159584738003,-0.0021134712275169766,-0.3138100024209444,1.096930925324209e-10,2076.96621,0.483099789,0.49832627,0.004699260587170124,0,02,158,OnlyDiploma,Catholic,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
15,7471,0.07164207683156762,-0.130161955020968,-0.43520964582020294,0.008686987515261996,-0.005085765197516983,-0.30859603043478795,8.28854700905485,0.1,0.483099789,0.49832627,0.04329649272717012,0,02,164,OnlyDiploma,Other Misc,0.096914783,0.25037031899999995,0.584595396,WHITE_MALE_rate,WHITE_FEMALE_rate
